id,Smiles
63,CCCOc1ccccc1C(=O)Nc1ncnc2[nH]cnc12
64,COc1cc2nc(N3CCN(C)CC3)cc(NC3CCN(C)CC3)c2cc1OC
65,COc1ccc(Nc2c(NC3(CCCCC(=O)NO)CCC3)c(=O)c2=O)cc1
66,CCN1C(=O)c2cccc3c(S(=O)(=O)NCCCCNC(=O)OC(C)(C)C)ccc1c23
67,Cc1cc(Nc2ccc(N3CCN(C)CC3)cc2)n2nc(SCc3csc4ccc(Cl)cc34)nc2n1
68,O=c1[nH]cnc2c(-n3cc(CCN4CCC(c5ccccc5Cl)CC4)cn3)nccc12
69,Cn1ccnc1SCc1ccc(C(=O)Nc2ccccc2N)cc1
70,O=C(/C=C/c1ccc2c(c1)CN(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C2)NO
71,CCCOC(=O)N1CCN(C(=O)c2ccc3c(Cl)c4c(nc3c2)CCCC4)[C@@H](C)C1
72,CC(=O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(Cl)cn3)c2)cc1
73,COc1cc(C/C(=N\O)C(=O)NCCS)cc(I)c1OC
74,O=C(O)c1ccnc(-c2cn(CCNCc3ccccc3Cl)cn2)c1
75,CC(C)=CC[C@H]1C[C@@]23C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c4ccc(C(C)C)c(O)c4)=C2OC1(C)C)C3=O
76,CN1CCN(c2ncnc3c2cnn3C)CC1
77,Cc1cc(-c2cc(NS(C)(=O)=O)ccc2Oc2ccccn2)n2cc[nH]c(=O)c12
78,CCNC(=O)[C@@H](C)N
79,Cc1cc(-c2nc3cnc(N4CCOC[C@@H]4C)nc3n2[C@@H](C)c2ccccc2)cn(C)c1=O
80,O=C(O)c1ccnc(-c2cn(CCc3ccccc3Cl)cn2)c1
81,CC(Nc1ncc(C(=O)NO)cn1)c1ccncc1
82,Cc1cc2ccnc(N[C@H]3CCNC[C@@H]3OCC3CCS(=O)(=O)CC3)c2[nH]c1=O
83,CC(C)=CCOc1ccccc1/C=C1\Oc2ccccc2C1=O
84,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCc1cccnc1)C3
85,C[C@H](NC(=O)CCc1ccccc1)C(=O)NCCc1c[nH]c2ccc(OCc3ccccc3)cc12
86,Cn1c(=O)c2nc(COc3ccc(C(C)(C)C)cc3)[nH]c2n(C)c1=O
87,COc1ccc(Cl)cc1NC(=O)CCc1ccc(CCC(=O)O)cc1
88,CCOC(=O)CC1OC(c2ccc(Cl)cc2)c2cc(OC)ccc2-c2c1sc(=O)n2C
89,OC(CNc1cc(-c2ccc3ncn(C4CCNCC4)c3c2)ccn1)CN1CCc2ccccc2C1
90,CC(=O)N1c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2N(C(=O)C2CC2)C[C@@H]1C
91,Cc1c(C(=O)N2CCC[C@@H](N)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1ccc2c(cnn2C)c1
